id,user_id,group_leader_id,timestamp,order_total_value,is_first_order,created_at
1,115,38,2025-05-29 04:41:58.607883,10.2,True,2025-05-29 04:41:58.607883
2,56,15,2025-05-08 20:41:58.595642,5.9,True,2025-05-08 20:41:58.595642
3,182,3,2025-05-28 09:41:58.620738,6.0,True,2025-05-28 09:41:58.620738
4,101,5,2025-06-13 17:41:58.605073,5.0,True,2025-06-13 17:41:58.605073
5,52,39,2025-04-04 09:41:58.594880,1.3,True,2025-04-04 09:41:58.594880
6,89,39,2025-03-27 10:41:58.602431,5.0,True,2025-03-27 10:41:58.602431
7,120,35,2025-06-29 11:41:58.608990,3.6,True,2025-06-29 11:41:58.608990
8,80,4,2025-07-02 12:41:58.600533,11.5,True,2025-07-02 12:41:58.600533
9,84,33,2025-05-09 16:41:58.601415,32.0,True,2025-05-09 16:41:58.601415
10,1,35,2024-12-22 06:41:58.587807,16.0,True,2024-12-22 06:41:58.587807
11,190,28,2025-06-29 17:41:58.621750,28.4,True,2025-06-29 17:41:58.621750
12,91,16,2025-08-18 10:41:58.602919,6.4,True,2025-08-18 10:41:58.602919
13,151,33,2025-04-10 18:41:58.614877,4.4,True,2025-04-10 18:41:58.614877
14,107,22,2025-03-24 06:41:58.606288,8.8,True,2025-03-24 06:41:58.606288
15,149,6,2025-05-19 06:41:58.614512,8.0,True,2025-05-19 06:41:58.614512
16,101,26,2025-07-22 14:41:58.605073,4.5,False,2025-07-22 14:41:58.605073
17,41,23,2025-03-24 10:41:58.592741,13.6,True,2025-03-24 10:41:58.592741
18,43,9,2025-05-19 18:41:58.593085,7.6,True,2025-05-19 18:41:58.593085
19,125,32,2025-05-22 16:41:58.609997,9.1,True,2025-05-22 16:41:58.609997
20,152,31,2025-09-08 15:41:58.615078,4.4,True,2025-09-08 15:41:58.615078
21,1,10,2024-12-19 09:41:58.587807,2.2,False,2024-12-19 09:41:58.587807
22,42,14,2025-05-27 10:41:58.592923,36.0,True,2025-05-27 10:41:58.592923
23,122,38,2025-03-21 05:41:58.609429,2.0,True,2025-03-21 05:41:58.609429
24,188,18,2025-07-17 04:41:58.621472,14.6,True,2025-07-17 04:41:58.621472
25,15,38,2025-08-10 06:41:58.589644,4.2,True,2025-08-10 06:41:58.589644
26,17,11,2025-07-13 17:41:58.589873,7.6,True,2025-07-13 17:41:58.589873
27,50,28,2025-01-12 08:41:58.594535,8.4,True,2025-01-12 08:41:58.594535
28,2,2,2025-01-06 16:41:58.588039,4.0,True,2025-01-06 16:41:58.588039
29,125,20,2025-04-23 09:41:58.609997,25.9,False,2025-04-23 09:41:58.609997
30,145,30,2024-12-21 05:41:58.613944,16.0,True,2024-12-21 05:41:58.613944
31,81,7,2025-04-18 17:41:58.600784,2.6,True,2025-04-18 17:41:58.600784
32,69,18,2025-03-20 06:41:58.598403,34.1,True,2025-03-20 06:41:58.598403
33,171,36,2025-01-15 14:41:58.619380,12.5,True,2025-01-15 14:41:58.619380
34,7,22,2025-06-06 19:41:58.588697,13.8,True,2025-06-06 19:41:58.588697
35,93,40,2025-03-24 09:41:58.603408,13.9,True,2025-03-24 09:41:58.603408
36,177,11,2025-05-27 15:41:58.620107,12.6,True,2025-05-27 15:41:58.620107
37,103,18,2025-05-02 05:41:58.605515,12.6,True,2025-05-02 05:41:58.605515
38,178,21,2025-08-13 14:41:58.620250,0.8,True,2025-08-13 14:41:58.620250
39,156,36,2025-05-22 17:41:58.616072,9.6,True,2025-05-22 17:41:58.616072
40,48,13,2025-04-01 18:41:58.594107,12.8,True,2025-04-01 18:41:58.594107
41,41,26,2025-02-21 08:41:58.592741,8.0,False,2025-02-21 08:41:58.592741
42,136,16,2025-02-03 17:41:58.612266,6.3,True,2025-02-03 17:41:58.612266
43,140,6,2025-04-27 13:41:58.613094,12.1,True,2025-04-27 13:41:58.613094
44,83,23,2025-02-08 16:41:58.601233,18.6,True,2025-02-08 16:41:58.601233
45,7,13,2025-05-06 11:41:58.588697,32.8,False,2025-05-06 11:41:58.588697
46,134,33,2025-07-15 10:41:58.611824,14.6,True,2025-07-15 10:41:58.611824
47,28,24,2025-07-09 05:41:58.591159,21.5,True,2025-07-09 05:41:58.591159
48,128,35,2025-02-26 04:41:58.610594,9.2,True,2025-02-26 04:41:58.610594
49,124,26,2025-03-29 19:41:58.609799,27.2,True,2025-03-29 19:41:58.609799
50,139,3,2024-12-20 13:41:58.612850,11.4,True,2024-12-20 13:41:58.612850
51,59,36,2025-03-05 19:41:58.596213,6.0,True,2025-03-05 19:41:58.596213
52,179,23,2025-06-10 16:41:58.620394,11.9,True,2025-06-10 16:41:58.620394
53,94,11,2025-07-08 18:41:58.603654,18.0,True,2025-07-08 18:41:58.603654
54,80,22,2025-03-21 07:41:58.600533,1.8,False,2025-03-21 07:41:58.600533
55,44,3,2025-07-07 10:41:58.593277,4.0,True,2025-07-07 10:41:58.593277
56,177,13,2025-02-17 04:41:58.620107,3.0,False,2025-02-17 04:41:58.620107
57,170,27,2025-06-05 17:41:58.619270,15.0,True,2025-06-05 17:41:58.619270
58,105,19,2025-05-07 06:41:58.605864,2.2,True,2025-05-07 06:41:58.605864
59,131,8,2025-04-13 10:41:58.611261,4.9,True,2025-04-13 10:41:58.611261
60,26,38,2025-05-01 20:41:58.590928,22.4,True,2025-05-01 20:41:58.590928
61,85,8,2025-05-20 08:41:58.601598,7.8,True,2025-05-20 08:41:58.601598
62,25,18,2025-06-28 17:41:58.590817,6.3,True,2025-06-28 17:41:58.590817
63,134,10,2025-05-19 14:41:58.611824,9.0,False,2025-05-19 14:41:58.611824
64,22,33,2025-04-21 09:41:58.590435,3.6,True,2025-04-21 09:41:58.590435
65,65,3,2025-05-15 06:41:58.597644,8.8,True,2025-05-15 06:41:58.597644
66,126,38,2025-07-21 13:41:58.610171,9.6,True,2025-07-21 13:41:58.610171
67,82,21,2025-05-29 20:41:58.600979,1.2,True,2025-05-29 20:41:58.600979
68,6,12,2025-02-17 09:41:58.588592,5.9,True,2025-02-17 09:41:58.588592
69,128,22,2025-01-16 04:41:58.610594,27.4,False,2025-01-16 04:41:58.610594
70,39,20,2025-04-12 05:41:58.592433,13.2,True,2025-04-12 05:41:58.592433
71,131,34,2025-01-31 13:41:58.611261,5.0,False,2025-01-31 13:41:58.611261
72,9,30,2025-04-12 04:41:58.588916,17.2,True,2025-04-12 04:41:58.588916
73,6,38,2025-03-09 12:41:58.588592,15.3,False,2025-03-09 12:41:58.588592
74,16,28,2025-06-11 06:41:58.589775,2.2,True,2025-06-11 06:41:58.589775
75,88,4,2025-02-20 06:41:58.602187,10.5,True,2025-02-20 06:41:58.602187
76,175,18,2025-05-21 12:41:58.619861,18.7,True,2025-05-21 12:41:58.619861
77,64,30,2025-03-20 20:41:58.597402,11.2,True,2025-03-20 20:41:58.597402
78,6,31,2025-02-13 06:41:58.588592,9.6,False,2025-02-13 06:41:58.588592
79,103,22,2025-04-15 04:41:58.605515,1.0,False,2025-04-15 04:41:58.605515
80,173,18,2025-01-10 18:41:58.619633,12.3,True,2025-01-10 18:41:58.619633
81,164,12,2025-08-23 04:41:58.617938,26.3,True,2025-08-23 04:41:58.617938
82,40,20,2025-05-01 19:41:58.592543,24.4,True,2025-05-01 19:41:58.592543
83,77,30,2025-02-04 07:41:58.599823,10.9,True,2025-02-04 07:41:58.599823
84,170,17,2025-05-03 14:41:58.619270,11.6,False,2025-05-03 14:41:58.619270
85,156,40,2025-03-19 10:41:58.616072,6.0,False,2025-03-19 10:41:58.616072
86,153,3,2025-02-23 14:41:58.615328,31.2,True,2025-02-23 14:41:58.615328
87,79,23,2025-05-25 13:41:58.600282,20.8,True,2025-05-25 13:41:58.600282
88,156,15,2025-05-22 08:41:58.616072,2.2,False,2025-05-22 08:41:58.616072
89,42,30,2025-05-26 06:41:58.592923,12.3,False,2025-05-26 06:41:58.592923
90,182,25,2025-07-13 16:41:58.620738,8.4,False,2025-07-13 16:41:58.620738
91,81,24,2025-04-28 09:41:58.600784,15.8,False,2025-04-28 09:41:58.600784
92,10,15,2025-06-18 11:41:58.589048,26.2,True,2025-06-18 11:41:58.589048
93,47,29,2025-05-31 13:41:58.593851,11.5,True,2025-05-31 13:41:58.593851
94,150,18,2025-03-10 05:41:58.614658,32.9,True,2025-03-10 05:41:58.614658
95,25,36,2025-08-02 05:41:58.590817,9.0,False,2025-08-02 05:41:58.590817
96,7,11,2025-04-07 11:41:58.588697,8.1,False,2025-04-07 11:41:58.588697
97,56,24,2025-04-19 05:41:58.595642,5.2,False,2025-04-19 05:41:58.595642
98,75,3,2025-07-14 04:41:58.599415,18.3,True,2025-07-14 04:41:58.599415
99,40,27,2025-03-21 04:41:58.592543,6.8,False,2025-03-21 04:41:58.592543
100,108,25,2025-03-27 05:41:58.606460,2.4,True,2025-03-27 05:41:58.606460
101,197,30,2025-04-01 20:41:58.622556,36.5,True,2025-04-01 20:41:58.622556
102,114,32,2025-06-25 06:41:58.607710,33.7,True,2025-06-25 06:41:58.607710
103,14,13,2025-02-07 13:41:58.589537,15.6,True,2025-02-07 13:41:58.589537
104,185,37,2025-06-17 10:41:58.621087,23.8,True,2025-06-17 10:41:58.621087
105,80,18,2025-06-14 04:41:58.600533,19.6,False,2025-06-14 04:41:58.600533
106,29,12,2025-06-27 09:41:58.591290,8.6,True,2025-06-27 09:41:58.591290
107,15,26,2025-06-10 16:41:58.589644,30.8,False,2025-06-10 16:41:58.589644
108,184,11,2025-06-07 15:41:58.620983,18.6,True,2025-06-07 15:41:58.620983
109,3,31,2025-03-25 15:41:58.588210,4.2,True,2025-03-25 15:41:58.588210
110,76,13,2025-04-19 04:41:58.599620,8.5,True,2025-04-19 04:41:58.599620
